,name,address,latitude,longitude
0,3M,"Maplewood, Minnesota",45.0082216,-93.0456985
1,Amazon,"Seattle, Washington",47.6038321,-122.330062
2,Apple,"Cupertino, California ",37.3228934,-122.0322895
3,Argosy Foundation,"Milwaukee, Wisconsin",43.0349931,-87.922497
4,Bechtel,"Reston, Virginia",38.955696,-77.34188283719988
5,Boeing,"Arlington, Virginia",38.8769326,-77.0893094
6,Disney,"Burbank, California",34.1812089,-118.307201
7,Caterpillar,"Irving, Texas",32.8295183,-96.9442177
8,DEKA,"Manchester, New Hampshire",42.9956397,-71.4547891
9,Department of Defense,Washington DC,38.8950368,-77.0365427
10,DOW,"Midland, Michigan",43.6155825,-84.2472117
11,FedEx,"Memphis, Tennessee",35.1460249,-90.0517638
12,Ford,"Dearborn, Michigan",42.3222599,-83.1763145
13,HAAS,"Kannapolis, North Carolina",35.4874708,-80.621438
14,Google,"Mountain View, California",37.3893889,-122.0832101
15,John Deere,"Moline, Illinois",41.5058344,-90.5136642
16,Lego,"Enfield,Connecticut",41.97896655,-72.59838825968257
17,General Motors,"Detroit, Michigan",42.3315509,-83.0466403
18,Lockheed Martin,"Bethesda, Maryland",38.98127255,-77.12335871396549
19,NASA,Washington DC,38.8950368,-77.0365427
20,National Instruments,"Austin, Texas",30.2711286,-97.7436995
21,Novelis,"Atlanta, Georgia",33.7489924,-84.3902644
22,Qualcomm,"San Diego, California",32.7174202,-117.1627728
23,Raytheon,"Waltham, Massachusetts",42.3756401,-71.2358004
24,Rockwell Automation,"Milwaukee, Wisconsin",43.0349931,-87.922497
25,TE connectivity,"Middletown, Pennsylvania",40.1784423,-74.89305746907641
26,Baxter,"Deerfield, Illinois",42.1711365,-87.8445119
27,Boston Scientific,"Marlborough, Massachusetts",42.3459271,-71.5522874
28,Chrysler,"Auburn Mills, Michigan",42.62691195,-83.24865115
29,Johnson and Johnson,"New Brunswick, New Jersey",40.4862174,-74.4518173
30,Kleiner Perkins,"Menlo Park, California",37.4519671,-122.177992
31,Motorola,"Chicago, Illinois",41.8755616,-87.6244212
32,Xerox,"Norwalk, Connecticut",41.1175966,-73.4078968
